fold,num_tasks,final_masked_acc,final_masked_bacc
0,10,0.8435786460524666,0.7966832883875286
1,10,0.8846343860514538,0.8300592661069943
2,10,0.8674347773989594,0.8278073604766043
3,10,0.861077055939664,0.7960512521757744
4,10,0.8637679854890699,0.8217573273151277
5,10,0.8627240092068813,0.815184212455321
6,10,0.838371601337656,0.7761210838683148
7,10,0.8466505990632213,0.7998273359287363
8,10,0.8551258984469703,0.7978816561538357
9,10,0.848552948811484,0.78018669142521
mean,10.0,0.8571917907797826,0.8041559474293447
std,0.0,0.012947947086551058,0.017893886095909105
