fold,num_tasks,final_masked_acc,final_masked_bacc
0,10,0.7898192551589555,0.7687621813381598
1,10,0.8447241769788205,0.8006331399994246
2,10,0.8367087990293254,0.7881215559129583
3,10,0.7735820936464549,0.763846309847344
4,10,0.8623452791537847,0.8152899356569396
5,10,0.8240703957595887,0.7880706781482127
6,10,0.8475434260884152,0.7876821795157508
7,10,0.8323215301488167,0.7906688833136746
8,10,0.7805321897950563,0.7580732134518111
9,10,0.8361814366169151,0.7658866610913486
mean,10.0,0.8227828582376133,0.7827034738275624
std,0.0,0.02901417486245496,0.01723123722876778
