true_task,true_task_name,pred_0_camelyon17,pred_1_brca,pred_2_rcc,pred_3_nsclc,pred_4_esca,pred_5_tgct,pred_6_cesc,pred_7_bracs,pred_8_herohe,pred_9_ubc_ocean
0,camelyon17,909,54,0,0,4,0,0,2,31,0
1,brca,10,446,2,6,8,3,6,5,320,9
2,rcc,0,0,860,1,0,3,0,0,0,1
3,nsclc,3,2,3,821,21,2,7,0,3,1
4,esca,23,0,0,4,616,2,19,0,0,6
5,tgct,34,0,0,5,20,276,39,2,0,5
6,cesc,6,0,14,25,955,16,243,0,0,21
7,bracs,10,102,0,0,1,1,0,332,135,0
8,herohe,0,321,0,8,7,1,9,53,113,0
9,ubc_ocean,3,0,5,1,1,21,25,0,0,484
