task,mean_acc,std_acc
0,0.585,0.05352569476429053
1,0.4822412457340759,0.03394441842532274
2,0.9283688660271283,0.01677948827930749
3,0.8921967283030752,0.0362631961639441
4,0.8910447761194031,0.034715532386904516
5,0.6507422402159244,0.03671881016757916
6,0.1671875,0.035320795485804114
7,0.3805687337992717,0.10829856252446447
8,0.13446997996102167,0.05700261249426007
9,0.7685185185185186,0.06155840792072098
