true_task,true_task_name,pred_0_camelyon17,pred_1_brca,pred_2_rcc,pred_3_nsclc,pred_4_esca,pred_5_tgct,pred_6_cesc,pred_7_bracs,pred_8_herohe,pred_9_ubc_ocean
0,camelyon17,939,32,0,0,4,0,0,2,23,0
1,brca,10,470,3,6,8,3,7,7,294,7
2,rcc,0,0,860,1,0,3,0,0,0,1
3,nsclc,3,2,5,815,25,3,5,0,3,2
4,esca,23,0,0,4,619,1,18,0,0,5
5,tgct,26,0,0,3,23,284,36,3,0,6
6,cesc,6,0,14,25,952,15,239,3,0,26
7,bracs,24,78,0,0,1,1,0,377,100,0
8,herohe,3,349,0,11,11,1,9,35,93,0
9,ubc_ocean,2,0,4,1,1,20,31,2,0,479
