true_task,true_task_name,pred_0_camelyon17,pred_1_brca,pred_2_rcc,pred_3_nsclc,pred_4_esca,pred_5_tgct,pred_6_cesc,pred_7_bracs,pred_8_herohe,pred_9_ubc_ocean
0,camelyon17,937,34,0,0,6,0,0,1,22,0
1,brca,12,466,1,9,7,3,12,4,293,8
2,rcc,0,0,860,1,0,3,0,0,0,1
3,nsclc,2,2,5,822,12,3,13,0,3,1
4,esca,4,0,0,4,635,0,27,0,0,0
5,tgct,19,0,0,1,60,227,71,2,0,1
6,cesc,0,0,12,23,803,6,431,1,2,2
7,bracs,25,72,0,0,1,1,3,375,104,0
8,herohe,3,347,1,16,2,1,1,39,102,0
9,ubc_ocean,2,0,4,1,1,19,48,2,0,463
