fold,acc,bacc,macro_f1,weighted_f1,inference_time_per_task
0,0.8996131361816322,0.8763032364272204,0.8647150544586004,0.9124960675690799,0.06939800372846446
1,0.9169634214722473,0.9138902432343164,0.8930482104741942,0.9311178866570539,0.07693763110000215
2,0.9207625682197111,0.9171094568967613,0.8929990007554985,0.9247503171759479,0.06669074985410461
3,0.9314562532140404,0.9097030874430553,0.9052247041049235,0.9317917116295006,0.0684383804263768
4,0.9144382989094443,0.9187516539149669,0.8935302001095073,0.9122305872292947,0.05712403772259326
5,0.9161435897161411,0.9005099407383726,0.8965023417618673,0.9246283981371445,0.07838796489605475
6,0.8905674609937039,0.8607253519905956,0.8529492842373886,0.9005394877363451,0.07889338705920806
7,0.8990292699475142,0.8792266344301191,0.8646569535070804,0.9147440901157573,0.07671741302004088
8,0.920611430812083,0.8961309982248548,0.8919111554163425,0.925195379450241,0.05965150867249339
9,0.9027229069480877,0.8940263213885112,0.8773578863800411,0.9137742557044541,0.07006850191259616
mean,0.9112308336414605,0.8966376924688774,0.8832894791205443,0.9191268181404819,0.07023075783919344
std,0.011993379714710595,0.01845230888311613,0.01634728916693881,0.00942218523768544,0.0072719373017708306
