fold,task,acc,bacc,kappa,nw_kappa,weighted_f1,loss,auroc
0,0,0.95,0.9453125,0.8507462686567164,0.8507462686567164,0.9510737628384687,0.20023790211880307,0.966796875
0,1,0.9195402298850575,0.9471794871794872,0.7750352609308886,0.8212328767123288,0.9247283653006323,0.2682918615413373,0.9933916083916084
0,2,0.9534883720930233,0.9516304347826088,0.906215921483097,0.906215921483097,0.9533868737233409,0.19393774907716682,0.9875
0,3,0.9253731343283582,0.9219600725952812,0.8473804100227791,0.8473804100227791,0.9252031027364883,0.2378475700366919,0.9745916515426497
0,4,0.8947368421052632,0.8333333333333333,0.732394366197183,0.732394366197183,0.8879699248120302,0.3439181046863808,0.8782051282051282
0,5,0.953125,0.8703703703703703,0.8064516129032258,0.8064516129032258,0.9509469696969698,0.3154390365771969,0.9638888888888889
1,0,0.8875,0.8995098039215685,0.6442687747035573,0.6442687747035573,0.8971492873218304,0.29998692539331584,0.9718137254901961
1,1,0.9534883720930233,0.9372532229675087,0.889118102114492,0.9045151739452257,0.9549612403100777,0.09568279327043325,0.9959683173968887
1,2,0.9770114942528736,0.9767441860465116,0.9539925965097832,0.9539925965097832,0.9769932494070425,0.05094570433700444,0.9994714587737844
1,3,0.9552238805970149,0.9523593466424682,0.9084282460136675,0.9084282460136675,0.955121861641893,0.08623956930924477,0.9972776769509982
1,4,0.8947368421052632,0.9259259259259259,0.7689969604863222,0.7689969604863222,0.8986234817813766,0.2459891953091001,0.9831649831649831
1,5,0.9453125,0.8861111111111111,0.7882797731568998,0.7882797731568998,0.9447373862696443,0.19145664731158768,0.9796296296296296
2,0,0.9473684210526315,0.967741935483871,0.8423236514522822,0.8423236514522822,0.949780701754386,0.23165446980124754,0.9746543778801843
2,1,0.9195402298850575,0.9233376852424472,0.8256949661908339,0.8459086078639745,0.9222645973480235,0.22570005376905822,0.9915252296204677
2,2,0.9629629629629629,0.9633699633699633,0.9258920402561757,0.9258920402561757,0.9629742599088337,0.07406930851921693,0.9963369963369964
2,3,0.9701492537313433,0.9736842105263157,0.9396939693969397,0.9396939693969397,0.9702433777060644,0.15206577265808488,0.984573502722323
2,4,0.8947368421052632,0.8782051282051282,0.7564102564102564,0.7564102564102564,0.8947368421052632,0.3863144970620419,0.83974358974359
2,5,0.9375,0.9018518518518519,0.7722419928825623,0.7722419928825623,0.9386960391633289,0.17827091004338297,0.9719907407407407
3,0,0.9529411764705882,0.8928571428571429,0.829145728643216,0.829145728643216,0.9515919043673808,0.13474212058141563,0.9804761904761905
3,1,0.9195402298850575,0.9209876543209877,0.8433301011220391,0.8516764538738397,0.9198084083297472,0.20479538831041988,0.992962962962963
3,2,0.9438202247191011,0.943939393939394,0.8876546326685181,0.8876546326685181,0.9438202247191011,0.15559178389468417,0.9924242424242424
3,3,0.9552238805970149,0.956442831215971,0.9091730682331677,0.9091730682331677,0.9553048317733366,0.18216022509770394,0.9809437386569873
3,4,0.9487179487179487,0.9166666666666667,0.8737864077669903,0.8737864077669903,0.9473026973026972,0.12429706921406357,1.0
3,5,0.9765625,0.9453703703703704,0.9092627599243857,0.9092627599243857,0.9763160226869905,0.11488328673728718,0.9893518518518518
4,0,0.9240506329113924,0.9290674603174602,0.7849364791288567,0.7849364791288567,0.9270249706024762,0.2936283361597782,0.9469246031746031
4,1,0.9195402298850575,0.9533333333333333,0.8190327613104524,0.8427331887201736,0.9203464637721925,0.26161908384622995,0.9872469135802469
4,2,0.9058823529411765,0.9061461794019934,0.8118428334255672,0.8118428334255672,0.9058562960067749,0.2043218175476218,0.9853266888150609
4,3,0.9402985074626866,0.9432849364791289,0.8793879387938794,0.8793879387938794,0.9404867554121286,0.2532469501945959,0.9754990925589836
4,4,0.9473684210526315,0.936026936026936,0.8720538720538721,0.8720538720538721,0.9473684210526315,0.16336931942807892,0.9966329966329966
4,5,0.9296875,0.8564814814814814,0.727788279773157,0.727788279773157,0.9289480680609713,0.26412085535755375,0.9578703703703704
5,0,0.9634146341463414,0.9299242424242424,0.8806983511154219,0.8806983511154219,0.9629620865696893,0.13339738835229206,0.9801136363636364
5,1,0.9425287356321839,0.9604434366339127,0.9093985941161156,0.9049872588278122,0.9426921877407161,0.13514190532856515,0.9983050459240935
5,2,0.9302325581395349,0.9302325581395349,0.8604651162790697,0.8604651162790697,0.9298913043478261,0.14925819905088766,0.9951325040562466
5,3,0.9402985074626866,0.9392014519056261,0.8784029038112523,0.8784029038112523,0.9402985074626866,0.13513336926747013,0.9900181488203266
5,4,0.9210526315789473,0.9198717948717949,0.8213166144200628,0.8213166144200628,0.9218575851393189,0.21328576443655808,0.9775641025641025
5,5,0.9453125,0.8861111111111111,0.7882797731568998,0.7882797731568998,0.9447373862696443,0.24109947402516202,0.974074074074074
6,0,0.8902439024390244,0.8099219620958751,0.6010810810810812,0.6010810810810812,0.8918758530651,0.442044942052499,0.8818283166109253
6,1,0.9411764705882353,0.9645390070921985,0.87561527205002,0.8892198845652579,0.9414333089829663,0.25333372796871745,0.9888005348998257
6,2,0.9545454545454546,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9545454545454546,0.20840547878396018,0.9876033057851239
6,3,0.9253731343283582,0.926043557168784,0.8486217803886127,0.8486217803886127,0.9255080529555612,0.2669769775595347,0.9709618874773139
6,4,0.9210526315789473,0.8821428571428571,0.7896678966789668,0.7896678966789668,0.9196675900277008,0.32329487952296193,0.8571428571428572
6,5,0.9453125,0.9064814814814814,0.7967332123411979,0.7967332123411979,0.9458522404991492,0.1906074561728711,0.9814814814814814
7,0,0.9397590361445783,0.9068322981366459,0.7911424257674887,0.7911424257674887,0.9405778159201115,0.1663936457241218,0.9761904761904762
7,1,0.9431818181818182,0.943030303030303,0.8762148337595907,0.8901569186875892,0.943873084390819,0.22469771258109733,0.9891806958473625
7,2,0.9213483146067416,0.9216380182002022,0.8426370295529174,0.8426370295529174,0.9213681836696173,0.3978036223219099,0.9595551061678463
7,3,0.9253731343283582,0.9301270417422868,0.8498431196772748,0.8498431196772748,0.9256747924424586,0.22455764998943165,0.9782214156079855
7,4,0.9473684210526315,0.9090909090909092,0.8647686832740213,0.8647686832740213,0.9456766917293232,0.25063638693367746,0.9057239057239056
7,5,0.953125,0.9314814814814815,0.8291814946619217,0.8291814946619217,0.9540220293724966,0.16336662741776434,0.9870370370370369
8,0,0.927710843373494,0.8995859213250517,0.7561214495592556,0.7561214495592556,0.9295889440113395,0.18073890471459647,0.9699792960662525
8,1,0.9411764705882353,0.9360746949399431,0.8736315718340316,0.8873319447074418,0.941753080678912,0.1795325186606479,0.9941614728848771
8,2,0.9425287356321839,0.9426532769556025,0.8850726552179656,0.8850726552179656,0.9425287356321839,0.2734622680039875,0.9751585623678647
8,3,0.9402985074626866,0.9351179673321235,0.8774016468435498,0.8774016468435498,0.9399978131321415,0.17462962261243675,0.985480943738657
8,4,0.8947368421052632,0.8557692307692308,0.7449664429530202,0.7449664429530202,0.8919014708488392,0.3210378567888575,0.9118589743589743
8,5,0.9375,0.8407407407407408,0.7419354838709677,0.7419354838709677,0.9345959595959596,0.3211708738760911,0.9587962962962964
9,0,0.9529411764705882,0.971830985915493,0.8465703971119134,0.8465703971119134,0.9552003410059676,0.10845057887595726,0.9939637826961771
9,1,0.9302325581395349,0.9533333333333333,0.808273470398811,0.8453793599424667,0.9323568872987478,0.3071530678202213,0.9876242424242424
9,2,0.8941176470588236,0.8885172798216276,0.784688995215311,0.784688995215311,0.8932204657035812,0.3948215462941492,0.9526198439241917
9,3,0.9552238805970149,0.9605263157894737,0.9099058718063648,0.9099058718063648,0.9554048754654751,0.19880240100331187,0.9718693284936478
9,4,0.868421052631579,0.858974358974359,0.7021943573667712,0.7021943573667712,0.8697626418988649,0.3524097286006759,0.8846153846153846
9,5,0.9296875,0.8564814814814814,0.727788279773157,0.727788279773157,0.9289480680609713,0.22236865803846792,0.9652777777777778
mean,0,0.9335929823008637,0.915258425247735,0.7827034607219788,0.7827034607219788,0.935682566745675,0.2191275213774027,0.9642741279948641
std,0,0.025028725595056076,0.0440751976881557,0.08772509111436104,0.08772509111436104,0.023138194669186162,0.09657588618397621,0.029729947770065723
mean,1,0.932994534476326,0.9439512158073453,0.8495344933827275,0.868314166784611,0.9344217624152836,0.21559481130967278,0.9919167023932577
std,1,0.012166630756862596,0.013936692793714702,0.0398911898272179,0.028473007503828328,0.011576675066512897,0.06095573008953006,0.0035088052580788303
mean,2,0.9385938116951877,0.9379416745202894,0.8767552729699313,0.8767552729699313,0.9384585047663757,0.2102617477830589,0.9831128708651358
std,2,0.024503800135069698,0.02540164613734583,0.04959916547329503,0.04959916547329503,0.02467340665624042,0.11143338873477741,0.01505333852066338
mean,3,0.9432835820895523,0.9438747731397459,0.8848238954987488,0.8848238954987488,0.9433243970728235,0.19116601077285061,0.9809437386569874
std,3,0.014623819359899565,0.01575403589363442,0.02975232608709291,0.02975232608709291,0.014624865165116836,0.05383904687787459,0.008014302056558863
mean,4,0.9132928475033738,0.8916007141007141,0.7926555857607467,0.7926555857607467,0.9124867346698047,0.2724552801982396,0.9234651922151922
std,4,0.026624115083207826,0.03301170543316391,0.059058729283387394,0.059058729283387394,0.026508975258867945,0.08242369419225436,0.0575474229486055
mean,5,0.9453125,0.8881481481481479,0.7887942662444375,0.7887942662444375,0.9447800169676126,0.22027838255573648,0.972939814814815
std,5,0.01307281291459493,0.03202097649242012,0.051412360732444935,0.051412360732444935,0.013270832968892065,0.06278347914763237,0.010750539312403995
0,overall,0.9327105964019503,0.9116310330435135,,,,,
1,overall,0.9355455148413624,0.9296505994358489,,,,,
2,overall,0.938709618289543,0.9346984624465963,,,,,
3,overall,0.9494676600649518,0.9293773432284221,,,,,
4,overall,0.9278046073754909,0.9207233878400555,,,,,
5,overall,0.940473261159949,0.9276307658477037,,,,,
6,overall,0.9296173489133367,0.9072790532544418,,,,,
7,overall,0.938359287385688,0.923700008613638,,,,,
