fold,num_tasks,final_masked_acc,final_masked_bacc
0,10,0.6686110257375909,0.5280092827625606
1,10,0.6384396222479507,0.5218303924757414
2,10,0.7295582445562124,0.6548772487577161
3,10,0.7488609629539489,0.6545947212306861
4,10,0.6712498493548844,0.5331801774741646
5,10,0.7360330840715238,0.626192161890992
6,10,0.7338417001030835,0.6466062388612396
7,10,0.7346478792929633,0.6234948204515903
8,10,0.6927514822491101,0.5825371173623793
9,10,0.6698479268247943,0.5538413002349878
mean,10.0,0.7023841777392063,0.5925163461502058
std,0.0,0.036621806813521646,0.051995999967938
