true_task,true_task_name,pred_0_camelyon17,pred_1_brca,pred_2_rcc,pred_3_nsclc,pred_4_esca,pred_5_tgct,pred_6_cesc,pred_7_bracs,pred_8_herohe,pred_9_ubc_ocean
0,camelyon17,0.927,0.034,0.002,0.0,0.003,0.0,0.0,0.005,0.029,0.0
1,brca,0.012269938650306749,0.5791411042944785,0.001226993865030675,0.007361963190184049,0.013496932515337423,0.0036809815950920245,0.014723926380368098,0.011042944785276074,0.3460122699386503,0.011042944785276074
2,rcc,0.0,0.0,0.9942196531791907,0.0011560693641618498,0.0,0.003468208092485549,0.0,0.0,0.0,0.0011560693641618498
3,nsclc,0.0034762456546929316,0.002317497103128621,0.005793742757821553,0.9466975666280417,0.02085747392815759,0.004634994206257242,0.011587485515643106,0.0,0.0034762456546929316,0.0011587485515643105
4,esca,0.025373134328358207,0.0,0.0,0.005970149253731343,0.9194029850746268,0.0,0.03880597014925373,0.0,0.0,0.010447761194029851
5,tgct,0.05774278215223097,0.0,0.0,0.005249343832020997,0.04199475065616798,0.7611548556430446,0.10498687664041995,0.005249343832020997,0.0,0.023622047244094488
6,cesc,0.003125,0.0,0.01171875,0.02421875,0.71015625,0.01328125,0.21015625,0.00390625,0.00390625,0.01953125
7,bracs,0.0189328743545611,0.14113597246127366,0.0,0.0,0.0,0.0034423407917383822,0.0017211703958691911,0.6471600688468159,0.18760757314974183,0.0
8,herohe,0.005859375,0.67578125,0.0,0.021484375,0.013671875,0.001953125,0.02734375,0.080078125,0.173828125,0.0
9,ubc_ocean,0.001851851851851852,0.0,0.007407407407407408,0.0,0.003703703703703704,0.03148148148148148,0.05925925925925926,0.003703703703703704,0.0,0.8925925925925926
