fold,task,acc,bacc,kappa,nw_kappa,weighted_f1,loss,auroc
0,0,0.59,0.32182247899159666,0.13141444977467642,0.14959765910753475,0.5591177380676104,1.2222988144222249,0.5916841736694678
0,1,0.925,0.9296875,0.7857142857142857,0.7857142857142857,0.9279569892473118,0.2830829185834072,0.958984375
0,2,0.9310344827586207,0.96,0.7810140237324703,0.8342857142857143,0.9342633053278735,0.2393347842740198,0.9917948717948718
0,3,0.9418604651162791,0.9407608695652174,0.8829613500272183,0.8829613500272183,0.9418050715210449,0.1923071352102358,0.9875
0,4,0.9253731343283582,0.9219600725952812,0.8473804100227791,0.8473804100227791,0.9252031027364883,0.19334773319066376,0.9827586206896551
0,5,0.8947368421052632,0.8333333333333333,0.732394366197183,0.732394366197183,0.8879699248120302,0.3832466379647341,0.8397435897435899
0,6,0.9453125,0.8657407407407407,0.7790927021696252,0.7790927021696252,0.9434700111069974,0.3431386885443324,0.9601851851851853
0,7,0.5777777777777777,0.5108269394714408,0.7358665430954587,0.5748383888612629,0.6248087373087373,1.0798591988893638,0.7517476555839727
0,8,0.8076923076923077,0.8261562998405103,0.6113602391629298,0.6113602391629298,0.8111888111888111,0.5030798607592065,0.8875598086124401
0,9,0.7407407407407407,0.7554545454545455,0.6455261563320541,0.6483357452966715,0.7525854432548145,0.6780972664508353,0.9634848484848485
1,0,0.68,0.5190909090909092,0.39165932922436564,0.3451081563802342,0.6900641025641027,0.9321263633644818,0.7525841750841752
1,1,0.8875,0.8995098039215685,0.6442687747035573,0.6442687747035573,0.8971492873218304,0.4016586096336582,0.9626225490196079
1,2,0.9651162790697675,0.967556253270539,0.9347496206373292,0.9372262773722628,0.9666842483816832,0.10296263994560786,0.9945649588506731
1,3,0.9885057471264368,0.9886363636363636,0.9770145310435931,0.9770145310435931,0.9885057471264368,0.0500087676860761,0.9984143763213531
1,4,0.9552238805970149,0.9523593466424682,0.9084282460136675,0.9084282460136675,0.955121861641893,0.08515958629037919,0.9972776769509982
1,5,0.868421052631579,0.8804713804713804,0.7040498442367602,0.7040498442367602,0.8724458204334367,0.22315402307060955,0.9730639730639731
1,6,0.9375,0.8814814814814815,0.762962962962963,0.762962962962963,0.9375,0.1962444268401834,0.9782407407407407
1,7,0.9038461538461539,0.8729603729603731,0.8905263157894737,0.8592057761732852,0.9077380952380951,0.5611815019160471,0.9343434343434344
1,8,0.66,0.675,0.3307086614173228,0.3307086614173228,0.6628663187474909,0.5794003165761995,0.7949999999999999
1,9,0.8703703703703703,0.8409090909090908,0.8890628057131676,0.8577586206896552,0.8726802912849426,0.551744137626276,0.9397878787878788
2,0,0.61,0.3333333333333333,0.31568228105906315,0.2513790386130812,0.583131914893617,1.123240178019794,0.5620121671258035
2,1,0.8947368421052632,0.935483870967742,0.7132075471698113,0.7132075471698113,0.902802984472676,0.32905515955087467,0.9735023041474654
