task,mean_acc,std_acc
0,0.5830000000000001,0.05367494760127857
1,0.6651689216719084,0.08696556737145317
2,0.9317779569362192,0.01897020607747428
3,0.9096263160868927,0.030883839277545056
4,0.8970149253731343,0.03560256848321363
5,0.7136977058029689,0.05138498264366818
6,0.2875,0.0426193178030808
7,0.3913130573337801,0.09944566505186764
8,0.08419923234573623,0.03800657775253322
9,0.8296296296296296,0.05023948135648348
